pickup_zip,dropoff_zip,trip_distance
7002,7002,1.595
7030,7030,6.3
7087,11231,8.67
7310,7310,0.0
7737,7758,2.92
8876,8876,0.0
10001,7304,13.37
10001,10001,0.7402777777777778
10001,10002,2.31
10001,10003,1.1922580645161291
10001,10005,4.48
10001,10006,3.5575
10001,10007,2.665
10001,10009,1.3031250000000003
10001,10011,0.9761538461538461
10001,10012,1.8734375000000005
10001,10013,2.485
10001,10014,1.443076923076923
10001,10016,0.8800000000000001
10001,10017,1.1316666666666666
10001,10018,1.2247826086956521
10001,10019,2.22125
10001,10020,1.0716666666666665
10001,10021,2.8417647058823525
10001,10022,1.8252941176470592
10001,10023,3.436666666666667
10001,10025,4.79
10001,10026,5.65
10001,10028,3.642142857142857
10001,10029,3.9116666666666666
10001,10031,7.86
10001,10032,8.5
10001,10034,9.973333333333333
10001,10035,4.855
10001,10037,6.733333333333333
10001,10039,6.59
10001,10044,3.48
10001,10065,2.2
10001,10069,2.9575
10001,10103,1.4147826086956525
10001,10110,0.8513157894736842
10001,10111,1.2428571428571427
10001,10112,1.1
10001,10119,0.7000000000000001
10001,10153,1.6740000000000002
10001,10154,2.0
10001,10162,3.4
10001,10167,1.025
10001,10171,1.3599999999999997
10001,10199,1.139090909090909
10001,10271,4.4624999999999995
10001,10278,2.552
10001,10280,4.133333333333334
10001,10282,4.156666666666667
10001,10452,8.02
10001,10463,11.9
10001,10474,8.39
10001,11101,4.2
10001,11102,5.24
10001,11104,4.23
10001,11109,3.29
10001,11201,4.4350000000000005
10001,11206,6.275
10001,11210,11.96
10001,11211,5.095
10001,11212,9.33
10001,11215,7.25
10001,11217,5.9
10001,11218,8.6
10001,11222,5.182
10001,11231,6.7
10001,11233,6.55
10001,11355,12.0
10001,11366,13.1
10001,11371,9.963333333333333
10001,11372,7.2
10001,11373,6.7
10001,11377,4.48
10001,11422,17.07111111111111
10002,10001,2.3283333333333336
10002,10002,0.855
10002,10003,0.961818181818182
10002,10005,2.0100000000000002
10002,10006,3.08
